Campaña,Estrategia,Usuarios
aus_pr_promo-packages,pros,347
br_pr_ongoing,ret,752
ca_bp_ongoing,mf,940
ca_bp_promos,pros,418
cl_pl_ongoing,pros,10
co-pr-eng-ongoing,ret,545
co_lblc_promos,pros,787
ger_bp_promo-packages,pros,127
mx_cz_act-fast,mf,455
mx_lblc_promos,pros,820
mx_pr_promos,ret,876
mx_tgmp_ongoing,ret,413
uk_cz_ongoing,ret,764
uk_pl_promos,pros,316
us_lblc_ongoing-navidad,ret,456
us_lblc_q1-feb,mf,864
us_pr_ongoing,ret,2298
us_pr_promos,pros,36
us_sp_ongoing,pros,272
us_tgmp_promos,ret,849
